--- Starting Evaluation ---

Title	Install AIDE
Title	Ensure /home Located On Separate Partition
Rule	xccdf_org.ssgproject.content_rule_partition_for_home
Result	pass

Title	Ensure /tmp Located On Separate Partition
Rule	xccdf_org.ssgproject.content_rule_partition_for_tmp
Result	fail

Title	Ensure /var Located On Separate Partition
Rule	xccdf_org.ssgproject.content_rule_partition_for_var
Result	fail

Title	Ensure /var/log Located On Separate Partition
Rule	xccdf_org.ssgproject.content_rule_partition_for_var_log
Result	fail

Title	Ensure /var/log/audit Located On Separate Partition
Rule	xccdf_org.ssgproject.content_rule_partition_for_var_log_audit
Result	fail

Title	Ensure /var/tmp Located On Separate Partition
Rule	xccdf_org.ssgproject.content_rule_partition_for_var_tmp
Result	fail

Title	Disable the GNOME3 Login User List
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_disable_user_list
Result	fail

Title	Enable the GNOME3 Screen Locking On Smartcard Removal
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_lock_screen_on_smartcard_removal
Result	fail

Title	Disable GDM Automatic Login
Rule	xccdf_org.ssgproject.content_rule_gnome_gdm_disable_automatic_login
Result	fail

Title	Set GNOME3 Screensaver Inactivity Timeout
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_idle_delay
Result	fail

Title	Set GNOME3 Screensaver Lock Delay After Activation Period
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_lock_delay
Result	fail

Title	Enable GNOME3 Screensaver Lock After Idle Period
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_lock_enabled
Result	fail

Title	Ensure Users Cannot Change GNOME3 Screensaver Settings
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_screensaver_user_locks
Result	fail

Title	Ensure Users Cannot Change GNOME3 Session Idle Settings
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_session_idle_user_locks
Result	fail

Title	Disable Ctrl-Alt-Del Reboot Key Sequence in GNOME3
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_disable_ctrlaltdel_reboot
Result	fail

Title	Ensure Users Re-Authenticate for Privilege Escalation - sudo !authenticate
Rule	xccdf_org.ssgproject.content_rule_sudo_remove_no_authenticate
Result	pass

Title	Ensure Users Re-Authenticate for Privilege Escalation - sudo NOPASSWD
Rule	xccdf_org.ssgproject.content_rule_sudo_remove_nopasswd
Result	pass

Title	Require Re-Authentication When Using the sudo Command
Rule	xccdf_org.ssgproject.content_rule_sudo_require_reauthentication
Result	fail

Title	The operating system must restrict privilege elevation to authorized personnel
Rule	xccdf_org.ssgproject.content_rule_sudo_restrict_privilege_elevation_to_authorized
Result	pass

Title	Ensure sudo only includes the default configuration directory
Rule	xccdf_org.ssgproject.content_rule_sudoers_default_includedir
Result	pass

Title	Ensure invoking users password for privilege escalation when using sudo
Rule	xccdf_org.ssgproject.content_rule_sudoers_validate_passwd
Result	fail

Title	Install rng-tools Package
Rule	xccdf_org.ssgproject.content_rule_package_rng-tools_installed
Result	fail

Title	Uninstall abrt-libs Package
Rule	xccdf_org.ssgproject.content_rule_package_abrt-libs_removed
Result	pass

Title	Uninstall abrt-server-info-page Package
Rule	xccdf_org.ssgproject.content_rule_package_abrt-server-info-page_removed
Result	pass

Title	Uninstall gssproxy Package
Rule	xccdf_org.ssgproject.content_rule_package_gssproxy_removed
Result	fail

Title	Uninstall iprutils Package
Rule	xccdf_org.ssgproject.content_rule_package_iprutils_removed
Result	fail

Title	Uninstall krb5-workstation Package
Rule	xccdf_org.ssgproject.content_rule_package_krb5-workstation_removed
Result	notapplicable

Title	Uninstall libreport-plugin-logger Package
Rule	xccdf_org.ssgproject.content_rule_package_libreport-plugin-logger_removed
Result	pass

Title	Uninstall tuned Package
Rule	xccdf_org.ssgproject.content_rule_package_tuned_removed
Result	fail

Title	Ensure yum Removes Previous Package Versions
Rule	xccdf_org.ssgproject.content_rule_clean_components_post_updating
Result	pass

Title	Ensure gpgcheck Enabled In Main yum Configuration
Rule	xccdf_org.ssgproject.content_rule_ensure_gpgcheck_globally_activated
Result	pass

Title	Ensure gpgcheck Enabled for Local Packages
Rule	xccdf_org.ssgproject.content_rule_ensure_gpgcheck_local_packages
Result	fail

Title	Ensure gpgcheck Enabled for All yum Package Repositories
Rule	xccdf_org.ssgproject.content_rule_ensure_gpgcheck_never_disabled
Result	pass

Title	Ensure Oracle Linux GPG Key Installed
Rule	xccdf_org.ssgproject.content_rule_ensure_oracle_gpgkey_installed
Result	pass

Title	Ensure Software Patches Installed
Rule	xccdf_org.ssgproject.content_rule_security_patches_up_to_date
Result	notchecked

Title	Enable authselect
Rule	xccdf_org.ssgproject.content_rule_enable_authselect
Result	pass

Title	Modify the System Login Banner
Rule	xccdf_org.ssgproject.content_rule_banner_etc_issue
Result	fail

Title	Enable GNOME3 Login Warning Banner
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_banner_enabled
Result	fail

Title	Set the GNOME3 Login Warning Banner Text
Rule	xccdf_org.ssgproject.content_rule_dconf_gnome_login_banner_text
Result	fail

Title	Disallow Configuration to Bypass Password Requirements for Privilege Escalation
Rule	xccdf_org.ssgproject.content_rule_disallow_bypass_password_sudo
Result	pass

Title	Ensure PAM Displays Last Logon/Access Notification
Rule	xccdf_org.ssgproject.content_rule_display_login_attempts
Result	fail

Title	Configure the Use of the pam_faillock.so Module in the /etc/pam.d/password-auth File.
Rule	xccdf_org.ssgproject.content_rule_account_password_pam_faillock_password_auth
Result	fail

Title	Configure the Use of the pam_faillock.so Module in the /etc/pam.d/system-auth File.
Rule	xccdf_org.ssgproject.content_rule_account_password_pam_faillock_system_auth
Result	fail

Title	An SELinux Context must be configured for the pam_faillock.so records directory
Rule	xccdf_org.ssgproject.content_rule_account_password_selinux_faillock_dir
Result	pass

Title	Limit Password Reuse: password-auth
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_pwhistory_remember_password_auth
Result	fail

Title	Limit Password Reuse: system-auth
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_pwhistory_remember_system_auth
Result	fail

Title	Account Lockouts Must Be Logged
Rule	xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_audit
Result	fail

Title	Lock Accounts After Failed Password Attempts
Rule	xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_deny
Result	fail

Title	Configure the root Account for Failed Password Attempts
Rule	xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_deny_root
Result	fail

Title	Lock Accounts Must Persist
Rule	xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_dir
Result	fail

Title	Set Interval For Counting Failed Password Attempts
Rule	xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_interval
Result	fail

Title	Do Not Show System Messages When Unsuccessful Logon Attempts Occur
Rule	xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_silent
Result	fail

Title	Set Lockout Time for Failed Password Attempts
Rule	xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_unlock_time
Result	fail

Title	Ensure PAM Enforces Password Requirements - Minimum Digit Characters
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_dcredit
Result	fail

Title	Ensure PAM Enforces Password Requirements - Prevent the Use of Dictionary Words
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_dictcheck
Result	fail

Title	Ensure PAM Enforces Password Requirements - Minimum Different Characters
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_difok
Result	fail

Title	Ensure PAM Enforces Password Requirements - Minimum Lowercase Characters
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_lcredit
Result	fail

Title	Ensure PAM Enforces Password Requirements - Maximum Consecutive Repeating Characters from Same Character Class
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_maxclassrepeat
Result	fail

Title	Set Password Maximum Consecutive Repeating Characters
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_maxrepeat
Result	fail

Title	Ensure PAM Enforces Password Requirements - Minimum Different Categories
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_minclass
Result	fail

Title	Ensure PAM Enforces Password Requirements - Minimum Length
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_minlen
Result	fail

Title	Ensure PAM Enforces Password Requirements - Minimum Special Characters
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_ocredit
Result	fail

Title	Ensure PAM password complexity module is enabled in password-auth
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_pwquality_password_auth
Result	pass

Title	Ensure PAM password complexity module is enabled in system-auth
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_pwquality_system_auth
Result	pass

Title	Ensure PAM Enforces Password Requirements - Authentication Retry Prompts Permitted Per-Session
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_retry
Result	fail

Title	Ensure PAM Enforces Password Requirements - Minimum Uppercase Characters
Rule	xccdf_org.ssgproject.content_rule_accounts_password_pam_ucredit
Result	fail

Title	Set Password Hashing Algorithm in /etc/login.defs
Rule	xccdf_org.ssgproject.content_rule_set_password_hashing_algorithm_logindefs
Result	pass

Title	Set PAM''s Password Hashing Algorithm - password-auth
Rule	xccdf_org.ssgproject.content_rule_set_password_hashing_algorithm_passwordauth
Result	pass

Title	Set PAM''s Password Hashing Algorithm
Rule	xccdf_org.ssgproject.content_rule_set_password_hashing_algorithm_systemauth
Result	pass

Title	Set Password Hashing Rounds in /etc/login.defs
Rule	xccdf_org.ssgproject.content_rule_set_password_hashing_min_rounds_logindefs
Result	pass

Title	Disable debug-shell SystemD Service
Rule	xccdf_org.ssgproject.content_rule_service_debug-shell_disabled
Result	fail

Title	Disable Ctrl-Alt-Del Burst Action
Rule	xccdf_org.ssgproject.content_rule_disable_ctrlaltdel_burstaction
Result	fail

Title	Disable Ctrl-Alt-Del Reboot Activation
Rule	xccdf_org.ssgproject.content_rule_disable_ctrlaltdel_reboot
Result	fail

Title	Configure Logind to terminate idle sessions after certain time of inactivity
Rule	xccdf_org.ssgproject.content_rule_logind_session_timeout
Result	fail

Title	Require Authentication for Emergency Systemd Target
Rule	xccdf_org.ssgproject.content_rule_require_emergency_target_auth
Result	pass

Title	Require Authentication for Single User Mode
Rule	xccdf_org.ssgproject.content_rule_require_singleuser_auth
Result	pass

Title	Install the tmux Package
Rule	xccdf_org.ssgproject.content_rule_package_tmux_installed
Result	fail

Title	Support session locking with tmux (not enforcing)
Rule	xccdf_org.ssgproject.content_rule_configure_bashrc_tmux
Result	notapplicable

Title	Configure tmux to lock session after inactivity
Rule	xccdf_org.ssgproject.content_rule_configure_tmux_lock_after_time
Result	notapplicable

Title	Configure the tmux Lock Command
Rule	xccdf_org.ssgproject.content_rule_configure_tmux_lock_command
Result	notapplicable

Title	Configure the tmux lock session key binding
Rule	xccdf_org.ssgproject.content_rule_configure_tmux_lock_keybinding
Result	notapplicable

Title	Prevent user from disabling the screen lock
Rule	xccdf_org.ssgproject.content_rule_no_tmux_in_shells
Result	pass

Title	Check that vlock is installed to allow session locking
Rule	xccdf_org.ssgproject.content_rule_vlock_installed
Result	pass

Title	Install the opensc Package For Multifactor Authentication
Rule	xccdf_org.ssgproject.content_rule_package_opensc_installed
Result	fail

Title	Install Smart Card Packages For Multifactor Authentication
Rule	xccdf_org.ssgproject.content_rule_install_smartcard_packages
Result	pass

Title	Ensure All Accounts on the System Have Unique User IDs
Rule	xccdf_org.ssgproject.content_rule_account_unique_id
Result	pass

Title	Only Authorized Local User Accounts Exist on Operating System
Rule	xccdf_org.ssgproject.content_rule_accounts_authorized_local_users
Result	fail

Title	Set Account Expiration Following Inactivity in password-auth
Rule	xccdf_org.ssgproject.content_rule_account_disable_inactivity_password_auth
Result	fail

Title	Set Account Expiration Following Inactivity in system-auth
Rule	xccdf_org.ssgproject.content_rule_account_disable_inactivity_system_auth
Result	fail

Title	Set Account Expiration Following Inactivity
Rule	xccdf_org.ssgproject.content_rule_account_disable_post_pw_expiration
Result	fail

Title	Assign Expiration Date to Temporary Accounts
Rule	xccdf_org.ssgproject.content_rule_account_temp_expire_date
Result	notchecked

Title	Set Password Maximum Age
Rule	xccdf_org.ssgproject.content_rule_accounts_maximum_age_login_defs
Result	fail

Title	Set Password Minimum Age
Rule	xccdf_org.ssgproject.content_rule_accounts_minimum_age_login_defs
Result	fail

Title	Set Password Minimum Length in login.defs
Rule	xccdf_org.ssgproject.content_rule_accounts_password_minlen_login_defs
Result	fail

Title	Set Existing Passwords Maximum Age
Rule	xccdf_org.ssgproject.content_rule_accounts_password_set_max_life_existing
Result	fail

Title	Set Existing Passwords Minimum Age
Rule	xccdf_org.ssgproject.content_rule_accounts_password_set_min_life_existing
Result	fail

Title	Verify All Account Password Hashes are Shadowed with SHA512
Rule	xccdf_org.ssgproject.content_rule_accounts_password_all_shadowed_sha512
Result	pass

Title	Prevent Login to Accounts With Empty Password
Rule	xccdf_org.ssgproject.content_rule_no_empty_passwords
Result	fail

Title	Ensure There Are No Accounts With Blank or Null Passwords
Rule	xccdf_org.ssgproject.content_rule_no_empty_passwords_etc_shadow
Result	pass

Title	Verify Only Root Has UID 0
Rule	xccdf_org.ssgproject.content_rule_accounts_no_uid_except_zero
Result	pass

Title	Ensure Home Directories are Created for New Users
Rule	xccdf_org.ssgproject.content_rule_accounts_have_homedir_login_defs
Result	pass

Title	Ensure the Logon Failure Delay is Set Correctly in login.defs
Rule	xccdf_org.ssgproject.content_rule_accounts_logon_fail_delay
Result	fail

Title	Limit the Number of Concurrent Login Sessions Allowed Per User
Rule	xccdf_org.ssgproject.content_rule_accounts_max_concurrent_login_sessions
Result	fail

Title	User Initialization Files Must Not Run World-Writable Programs
Rule	xccdf_org.ssgproject.content_rule_accounts_user_dot_no_world_writable_programs
Result	pass

Title	Ensure that Users Path Contains Only Local Directories
Rule	xccdf_org.ssgproject.content_rule_accounts_user_home_paths_only
Result	notchecked

Title	All Interactive Users Must Have A Home Directory Defined
Rule	xccdf_org.ssgproject.content_rule_accounts_user_interactive_home_directory_defined
Result	pass

Title	All Interactive Users Home Directories Must Exist
Rule	xccdf_org.ssgproject.content_rule_accounts_user_interactive_home_directory_exists
Result	pass

Title	All User Files and Directories In The Home Directory Must Be Group-Owned By The Primary Group
Rule	xccdf_org.ssgproject.content_rule_accounts_users_home_files_groupownership
Result	pass

Title	All User Files and Directories In The Home Directory Must Have Mode 0750 Or Less Permissive
Rule	xccdf_org.ssgproject.content_rule_accounts_users_home_files_permissions
Result	fail

Title	All Interactive User Home Directories Must Be Group-Owned By The Primary Group
Rule	xccdf_org.ssgproject.content_rule_file_groupownership_home_directories
Result	pass

Title	Verify Group Who Owns lastlog Command
Rule	xccdf_org.ssgproject.content_rule_file_groupownership_lastlog
Result	pass

Title	Verify Owner on lastlog Command
Rule	xccdf_org.ssgproject.content_rule_file_ownership_lastlog
Result	pass

Title	Ensure All User Initialization Files Have Mode 0740 Or Less Permissive
Rule	xccdf_org.ssgproject.content_rule_file_permission_user_init_files
Result	fail

Title	All Interactive User Home Directories Must Have mode 0750 Or Less Permissive
Rule	xccdf_org.ssgproject.content_rule_file_permissions_home_directories
Result	pass

Title	Verify Permissions on lastlog Command
Rule	xccdf_org.ssgproject.content_rule_file_permissions_lastlog
Result	fail

Title	Ensure the Default Bash Umask is Set Correctly
Rule	xccdf_org.ssgproject.content_rule_accounts_umask_etc_bashrc
Result	fail

Title	Ensure the Default C Shell Umask is Set Correctly
Rule	xccdf_org.ssgproject.content_rule_accounts_umask_etc_csh_cshrc
Result	fail

Title	Ensure the Default Umask is Set Correctly in login.defs
Rule	xccdf_org.ssgproject.content_rule_accounts_umask_etc_login_defs
Result	fail

Title	Ensure the Default Umask is Set Correctly in /etc/profile
Rule	xccdf_org.ssgproject.content_rule_accounts_umask_etc_profile
Result	fail

Title	Ensure the Default Umask is Set Correctly For Interactive Users
Rule	xccdf_org.ssgproject.content_rule_accounts_umask_interactive_users
Result	error

Title	System Must Avoid Meltdown and Spectre Exploit Vulnerabilities in Modern Processors
Rule	xccdf_org.ssgproject.content_rule_grub2_mitigation_argument
Result	pass

Title	Enable Kernel Page-Table Isolation (KPTI)
Rule	xccdf_org.ssgproject.content_rule_grub2_pti_argument
Result	fail

Title	Disable vsyscalls
Rule	xccdf_org.ssgproject.content_rule_grub2_vsyscall_argument
Result	fail

Title	Set the Boot Loader Admin Username to a Non-Default Value
Rule	xccdf_org.ssgproject.content_rule_grub2_admin_username
Result	fail

Title	Set Boot Loader Password in grub2
Rule	xccdf_org.ssgproject.content_rule_grub2_password
Result	fail

Title	Set the UEFI Boot Loader Admin Username to a Non-Default Value
Rule	xccdf_org.ssgproject.content_rule_grub2_uefi_admin_username
Result	notapplicable

Title	Set the UEFI Boot Loader Password
Rule	xccdf_org.ssgproject.content_rule_grub2_uefi_password
Result	notapplicable

Title	Ensure rsyslog-gnutls is installed
Rule	xccdf_org.ssgproject.content_rule_package_rsyslog-gnutls_installed
Result	pass

Title	Ensure rsyslog is Installed
Rule	xccdf_org.ssgproject.content_rule_package_rsyslog_installed
Result	pass

Title	Enable rsyslog Service
Rule	xccdf_org.ssgproject.content_rule_service_rsyslog_enabled
Result	pass

Title	Ensure cron Is Logging To Rsyslog
Rule	xccdf_org.ssgproject.content_rule_rsyslog_cron_logging
Result	pass

Title	Ensure Rsyslog Authenticates Off-Loaded Audit Records
Rule	xccdf_org.ssgproject.content_rule_rsyslog_encrypt_offload_actionsendstreamdriverauthmode
Result	fail

Title	Ensure Rsyslog Encrypts Off-Loaded Audit Records
Rule	xccdf_org.ssgproject.content_rule_rsyslog_encrypt_offload_actionsendstreamdrivermode
Result	fail

Title	Ensure Rsyslog Encrypts Off-Loaded Audit Records
Rule	xccdf_org.ssgproject.content_rule_rsyslog_encrypt_offload_defaultnetstreamdriver
Result	fail

Title	Ensure remote access methods are monitored in Rsyslog
Rule	xccdf_org.ssgproject.content_rule_rsyslog_remote_access_monitoring
Result	fail

Title	Ensure Logs Sent To Remote Host
Rule	xccdf_org.ssgproject.content_rule_rsyslog_remote_loghost
Result	fail

Title	Configure Multiple DNS Servers in /etc/resolv.conf
Rule	xccdf_org.ssgproject.content_rule_network_configure_name_resolution
Result	fail

Title	Ensure System is Not Acting as a Network Sniffer
Rule	xccdf_org.ssgproject.content_rule_network_sniffer_disabled
Result	pass

Title	Configure Firewalld to Use the Nftables Backend
Rule	xccdf_org.ssgproject.content_rule_firewalld-backend
Result	pass

Title	Install firewalld Package
Rule	xccdf_org.ssgproject.content_rule_package_firewalld_installed
Result	pass

Title	Verify firewalld Enabled
Rule	xccdf_org.ssgproject.content_rule_service_firewalld_enabled
Result	pass

Title	Configure the Firewalld Ports
Rule	xccdf_org.ssgproject.content_rule_configure_firewalld_ports
Result	notchecked

Title	Firewalld Must Employ a Deny-all, Allow-by-exception Policy for Allowing Connections to Other Systems
Rule	xccdf_org.ssgproject.content_rule_configured_firewalld_default_deny
Result	notchecked

Title	Configure Accepting Router Advertisements on All IPv6 Interfaces
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_all_accept_ra
Result	fail

Title	Disable Accepting ICMP Redirects for All IPv6 Interfaces
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_all_accept_redirects
Result	fail

Title	Disable Kernel Parameter for Accepting Source-Routed Packets on all IPv6 Interfaces
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_all_accept_source_route
Result	fail

Title	Disable Kernel Parameter for IPv6 Forwarding
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_all_forwarding
Result	fail

Title	Disable Accepting Router Advertisements on all IPv6 Interfaces by Default
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_default_accept_ra
Result	fail

Title	Disable Kernel Parameter for Accepting ICMP Redirects by Default on IPv6 Interfaces
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_default_accept_redirects
Result	fail

Title	Disable Kernel Parameter for Accepting Source-Routed Packets on IPv6 Interfaces by Default
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_default_accept_source_route
Result	fail

Title	Disable Accepting ICMP Redirects for All IPv4 Interfaces
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_accept_redirects
Result	fail

Title	Disable Kernel Parameter for Accepting Source-Routed Packets on all IPv4 Interfaces
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_accept_source_route
Result	pass

Title	Disable Kernel Parameter for IPv4 Forwarding on all IPv4 Interfaces
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_forwarding
Result	fail

Title	Enable Kernel Parameter to Use Reverse Path Filtering on all IPv4 Interfaces
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_rp_filter
Result	pass

Title	Disable Kernel Parameter for Accepting ICMP Redirects by Default on IPv4 Interfaces
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_accept_redirects
Result	fail

Title	Disable Kernel Parameter for Accepting Source-Routed Packets on IPv4 Interfaces by Default
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_accept_source_route
Result	fail

Title	Enable Kernel Parameter to Ignore ICMP Broadcast Echo Requests on IPv4 Interfaces
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_icmp_echo_ignore_broadcasts
Result	fail

Title	Disable Kernel Parameter for Sending ICMP Redirects on all IPv4 Interfaces
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_send_redirects
Result	fail

Title	Disable Kernel Parameter for Sending ICMP Redirects on all IPv4 Interfaces by Default
Rule	xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_send_redirects
Result	fail

Title	Disable ATM Support
Rule	xccdf_org.ssgproject.content_rule_kernel_module_atm_disabled
Result	fail

Title	Disable CAN Support
Rule	xccdf_org.ssgproject.content_rule_kernel_module_can_disabled
Result	fail

Title	Disable IEEE 1394 (FireWire) Support
Rule	xccdf_org.ssgproject.content_rule_kernel_module_firewire-core_disabled
Result	fail

Title	Disable SCTP Support
Rule	xccdf_org.ssgproject.content_rule_kernel_module_sctp_disabled
Result	fail

Title	Disable TIPC Support
Rule	xccdf_org.ssgproject.content_rule_kernel_module_tipc_disabled
Result	fail

Title	Disable Bluetooth Kernel Module
Rule	xccdf_org.ssgproject.content_rule_kernel_module_bluetooth_disabled
Result	fail

Title	Deactivate Wireless Network Interfaces
Rule	xccdf_org.ssgproject.content_rule_wireless_disable_interfaces
Result	pass

Title	Verify that All World-Writable Directories Have Sticky Bits Set
Rule	xccdf_org.ssgproject.content_rule_dir_perms_world_writable_sticky_bits
Result	pass

Title	Ensure All World-Writable Directories Are Owned by a System Account
Rule	xccdf_org.ssgproject.content_rule_dir_perms_world_writable_system_owned
Result	fail

Title	Ensure All World-Writable Directories Are Group Owned by a System Account
Rule	xccdf_org.ssgproject.content_rule_dir_perms_world_writable_system_owned_group
Result	fail

Title	Verify Permissions on /etc/audit/auditd.conf
Rule	xccdf_org.ssgproject.content_rule_file_permissions_etc_audit_auditd
Result	pass

Title	Verify Permissions on /etc/audit/rules.d/*.rules
Rule	xccdf_org.ssgproject.content_rule_file_permissions_etc_audit_rulesd
Result	pass

Title	Ensure All Files Are Owned by a Group
Rule	xccdf_org.ssgproject.content_rule_file_permissions_ungroupowned
Result	pass

Title	Ensure All Files Are Owned by a User
Rule	xccdf_org.ssgproject.content_rule_no_files_unowned_by_user
Result	pass

Title	Enable Kernel Parameter to Enforce DAC on Hardlinks
Rule	xccdf_org.ssgproject.content_rule_sysctl_fs_protected_hardlinks
Result	pass

